gender,embedding,subcat,n_train,spec,variant,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper,sig
women,proper,fashion-sneakers,430,PLR + Similarities + Controls,txtimg,-0.1976,-0.1135,-0.0294,-0.3293,-0.1892,-0.0491,True
women,proper,flats,496,PLR + Controls,txt,-0.0782,-0.0358,0.0066,-0.1303,-0.0596,0.0111,False
women,proper,flats,496,PLR + Controls,txtimg,-0.1009,-0.05,0.0009,-0.1682,-0.0833,0.0015,False
women,proper,flats,496,PLR + Emb + Controls,txt,-0.0904,-0.0482,-0.006,-0.1507,-0.0804,-0.01,True
women,proper,flats,496,PLR + Emb + Controls,txtimg,-0.0912,-0.0568,-0.0225,-0.152,-0.0947,-0.0374,True
women,proper,flats,496,PLR + Embeddings,txt,-0.2243,-0.1443,-0.0642,-0.3738,-0.2404,-0.107,True
women,proper,flats,496,PLR + Embeddings,txtimg,-0.1441,-0.0857,-0.0273,-0.2401,-0.1428,-0.0454,True
women,proper,flats,496,PLR + PCA + Controls,txt,-0.0702,-0.0282,0.0139,-0.117,-0.0469,0.0232,False
women,proper,flats,496,PLR + PCA + Controls,txtimg,-0.118,-0.0773,-0.0366,-0.1966,-0.1288,-0.0609,True
women,proper,flats,496,PLR + Similarities + Controls,txt,-0.0816,-0.0394,0.0027,-0.136,-0.0657,0.0045,False
women,proper,flats,496,PLR + Similarities + Controls,txtimg,-0.1035,-0.0609,-0.0183,-0.1724,-0.1015,-0.0305,True
women,proper,pumps,626,PLR + Controls,txt,-0.1385,-0.0948,-0.0511,-0.2309,-0.158,-0.0851,True
women,proper,pumps,626,PLR + Controls,txtimg,-0.1135,-0.0651,-0.0168,-0.1891,-0.1086,-0.028,True
women,proper,pumps,626,PLR + Emb + Controls,txt,-0.1099,-0.076,-0.0421,-0.1832,-0.1266,-0.0701,True
women,proper,pumps,626,PLR + Emb + Controls,txtimg,-0.0981,-0.0612,-0.0242,-0.1635,-0.1019,-0.0404,True
women,proper,pumps,626,PLR + Embeddings,txt,-0.2425,-0.1858,-0.129,-0.4042,-0.3096,-0.2151,True
women,proper,pumps,626,PLR + Embeddings,txtimg,-0.2336,-0.182,-0.1304,-0.3894,-0.3034,-0.2173,True
women,proper,pumps,626,PLR + PCA + Controls,txt,-0.1272,-0.0887,-0.0502,-0.212,-0.1478,-0.0836,True
women,proper,pumps,626,PLR + PCA + Controls,txtimg,-0.1156,-0.0735,-0.0314,-0.1927,-0.1225,-0.0524,True
